time	V(vtag)
0.000000000000000e+000	3.000000e+000
9.999999717180685e-010	3.000000e+000
1.999999943436137e-009	2.999999e+000
1.917396231486616e-002	2.999318e+000
3.834792262973238e-002	2.998657e+000
5.752188294459859e-002	2.998016e+000
7.669584325946481e-002	2.997395e+000
9.586980357433103e-002	2.996795e+000
1.150437638891972e-001	2.996215e+000
1.342177242040634e-001	2.995655e+000
2.318739742040634e-001	2.992980e+000
3.295302242040634e-001	2.990644e+000
4.271864742040634e-001	2.988631e+000
5.248427242040634e-001	2.986896e+000
6.224989742040634e-001	2.985401e+000
7.201552242040634e-001	2.984112e+000
8.178114742040634e-001	2.982996e+000
8.438384064606258e-001	2.982718e+000
8.698653387171882e-001	2.982452e+000
8.958922709737506e-001	2.982197e+000
9.219192032303130e-001	2.981954e+000
9.479461354868753e-001	2.981723e+000
9.739730677434377e-001	2.981503e+000
1.000000000000000e+000	2.981296e+000
1.000080000000000e+000	2.980549e+000
1.000240000000000e+000	2.977843e+000
1.000480000000000e+000	2.970272e+000
1.000800000000000e+000	2.955816e+000
1.001942857142857e+000	2.886669e+000
1.003085714285714e+000	2.817635e+000
1.004228571428571e+000	2.748714e+000
1.005371428571429e+000	2.679906e+000
1.006514285714286e+000	2.611211e+000
1.007657142857143e+000	2.542629e+000
1.008800000000000e+000	2.474160e+000
1.009020800000000e+000	2.464098e+000
1.009315200000000e+000	2.455830e+000
1.009600000000000e+000	2.451751e+000
1.068113478571437e+000	2.495034e+000
1.126626957142874e+000	2.535395e+000
1.185140435714311e+000	2.572837e+000
1.243653914285748e+000	2.607359e+000
1.302167392857185e+000	2.638960e+000
1.360680871428622e+000	2.667641e+000
1.419194350000059e+000	2.693403e+000
1.516850600000059e+000	2.732455e+000
1.614506850000059e+000	2.766112e+000
1.712163100000059e+000	2.795120e+000
1.809819350000059e+000	2.820119e+000
1.907475600000059e+000	2.841665e+000
2.005131850000059e+000	2.860234e+000
2.102788100000059e+000	2.876238e+000
2.200444350000059e+000	2.890031e+000
2.298100600000059e+000	2.901918e+000
2.395756850000059e+000	2.912163e+000
2.493413100000059e+000	2.920992e+000
2.591069350000059e+000	2.928602e+000
2.688725600000059e+000	2.935160e+000
2.786381850000059e+000	2.940813e+000
2.884038100000059e+000	2.945684e+000
2.981694350000059e+000	2.949882e+000
3.079350600000059e+000	2.953501e+000
3.177006850000059e+000	2.956619e+000
3.274663100000059e+000	2.959307e+000
3.372319350000059e+000	2.961623e+000
3.469975600000059e+000	2.963619e+000
3.567631850000059e+000	2.965340e+000
3.665288100000059e+000	2.966823e+000
3.762944350000059e+000	2.968101e+000
3.860600600000059e+000	2.969202e+000
3.958256850000059e+000	2.970151e+000
4.055913100000058e+000	2.970969e+000
4.153569350000058e+000	2.971674e+000
4.251225600000058e+000	2.972282e+000
4.348881850000058e+000	2.972806e+000
4.446538100000058e+000	2.973257e+000
4.544194350000058e+000	2.973646e+000
4.641850600000058e+000	2.973981e+000
4.739506850000058e+000	2.974270e+000
4.837163100000058e+000	2.974519e+000
4.934819350000058e+000	2.974734e+000
5.032475600000058e+000	2.974918e+000
5.130131850000058e+000	2.975078e+000
5.227788100000058e+000	2.975215e+000
5.325444350000058e+000	2.975334e+000
5.423100600000058e+000	2.975436e+000
5.520756850000058e+000	2.975524e+000
5.618413100000058e+000	2.975600e+000
5.716069350000058e+000	2.975665e+000
5.813725600000058e+000	2.975721e+000
5.911381850000058e+000	2.975770e+000
6.009038100000058e+000	2.975811e+000
6.204350600000058e+000	2.975879e+000
6.399663100000058e+000	2.975929e+000
6.594975600000058e+000	2.975965e+000
6.887944350000058e+000	2.976004e+000
7.180913100000058e+000	2.976029e+000
7.418078278571487e+000	2.976040e+000
7.655243457142916e+000	2.976049e+000
7.892408635714345e+000	2.976057e+000
8.129573814285774e+000	2.976063e+000
8.366738992857201e+000	2.976067e+000
8.603904171428631e+000	2.976069e+000
8.841069350000058e+000	2.976069e+000
9.000000000000000e+000	2.976070e+000
9.000080000000001e+000	2.975323e+000
9.000240000000000e+000	2.972619e+000
9.000480000000000e+000	2.965050e+000
9.000800000000000e+000	2.950597e+000
9.001942857142858e+000	2.881459e+000
9.003085714285714e+000	2.812434e+000
9.004228571428572e+000	2.743522e+000
9.005371428571429e+000	2.674723e+000
9.006514285714287e+000	2.606037e+000
9.007657142857143e+000	2.537464e+000
9.008800000000001e+000	2.469003e+000
9.009020800000002e+000	2.458943e+000
9.009315200000001e+000	2.450678e+000
9.009599999999999e+000	2.446601e+000
9.068113478571336e+000	2.490308e+000
9.126626957142671e+000	2.531067e+000
9.185140435714008e+000	2.568876e+000
9.243653914285343e+000	2.603737e+000
9.302167392856680e+000	2.635649e+000
9.360680871428016e+000	2.664612e+000
9.419194349999351e+000	2.690626e+000
9.516850599999351e+000	2.730062e+000
9.614506849999351e+000	2.764050e+000
9.712163099999351e+000	2.793342e+000
9.809819349999351e+000	2.818588e+000
9.907475599999351e+000	2.840345e+000
1.000513184999935e+001	2.859097e+000
1.010278809999935e+001	2.875257e+000
1.020044434999935e+001	2.889186e+000
1.029810059999935e+001	2.901190e+000
1.039575684999935e+001	2.911535e+000
1.049341309999935e+001	2.920451e+000
1.059106934999935e+001	2.928136e+000
1.068872559999935e+001	2.934758e+000
1.078638184999935e+001	2.940466e+000
1.088403809999935e+001	2.945385e+000
1.098169434999935e+001	2.949625e+000
1.107935059999935e+001	2.953279e+000
1.117700684999935e+001	2.956428e+000
1.127466309999935e+001	2.959142e+000
1.137231934999935e+001	2.961481e+000
1.146997559999935e+001	2.963497e+000
1.156763184999935e+001	2.965234e+000
1.166528809999935e+001	2.966732e+000
1.176294434999935e+001	2.968022e+000
1.186060059999935e+001	2.969134e+000
1.195825684999935e+001	2.970093e+000
1.205591309999935e+001	2.970919e+000
1.215356934999935e+001	2.971631e+000
1.225122559999935e+001	2.972245e+000
1.234888184999935e+001	2.972773e+000
1.244653809999935e+001	2.973229e+000
1.254419434999935e+001	2.973622e+000
1.264185059999935e+001	2.973960e+000
1.273950684999935e+001	2.974252e+000
1.283716309999935e+001	2.974504e+000
1.293481934999935e+001	2.974720e+000
1.303247559999935e+001	2.974907e+000
1.313013184999935e+001	2.975068e+000
1.322778809999935e+001	2.975207e+000
1.332544434999935e+001	2.975327e+000
1.342310059999935e+001	2.975430e+000
1.352075684999935e+001	2.975518e+000
1.361841309999935e+001	2.975595e+000
1.371606934999935e+001	2.975661e+000
1.381372559999935e+001	2.975718e+000
1.391138184999935e+001	2.975767e+000
1.400903809999935e+001	2.975809e+000
1.420435059999935e+001	2.975877e+000
1.439966309999935e+001	2.975927e+000
